method_id,search_nfe,runs,median_best_cost,q25_best_cost,q75_best_cost
A3-only,79200,30,42884.0130812415,42791.43972163735,43027.83383707383
A3-only,79800,30,42849.66375974387,42781.517363617546,43024.818984113386
A3-only,80400,30,42846.97229002505,42780.8926246763,43024.818984113386
A3-only,81000,30,42834.69766149401,42759.32953310615,43024.818984113386
A3-only,81600,30,42834.69766149401,42759.32953310615,43018.074057212274
A3-only,82200,30,42822.26916491163,42759.32953310615,43007.834153490505
A3-only,82800,30,42822.26916491163,42758.610549928475,43005.938350066994
A3-only,83400,30,42816.857531358946,42743.36699824048,42998.452011228095
A3-only,84000,30,42816.857531358946,42738.86594053869,42995.65432949233
A3-only,84600,30,42811.63380047769,42738.86594053869,42995.65432949233
A3-only,85200,30,42811.63380047769,42738.2388469082,42992.21775474258
A3-only,85800,30,42811.63380047769,42728.003496168574,42985.41338649309
A3-only,86400,30,42807.01643353935,42727.434207738035,42985.41338649309
A3-only,87000,30,42799.3360194324,42717.37428393412,42964.42510124965
A3-only,87600,30,42796.73123318494,42717.37428393412,42951.83421517125
A3-only,88200,30,42786.24704847842,42717.37428393412,42943.51032057175
A3-only,88800,30,42775.68572984879,42698.422757869426,42938.98116198233
A3-only,89400,30,42775.68572984879,42698.422757869426,42936.440330555546
A3-only,90000,30,42774.47525706037,42697.99669369853,42918.55277620036
A3-only,90600,30,42769.08937416483,42697.99669369853,42918.55277620036
A3-only,91200,30,42768.08440476106,42691.53830803903,42918.55277620036
A3-only,91800,30,42757.0231904207,42676.729046065,42891.78530176259
A3-only,92400,30,42752.59438371936,42665.292303531794,42853.06870142988
A3-only,93000,30,42752.105402456655,42665.292303531794,42853.06870142988
A3-only,93600,30,42742.82595990817,42662.28425265877,42851.771555130836
A3-only,94200,30,42741.32053706525,42653.46045319027,42839.55980874257
A3-only,94800,30,42731.32902794898,42650.710307964495,42836.02597938644
A3-only,95400,30,42728.38672683912,42648.45707229665,42835.415191486216
A3-only,96000,30,42728.38672683912,42638.870288942235,42821.61347579076
A3-only,96600,30,42706.83037868641,42632.40866353506,42819.212198305504
A3-only,97200,30,42706.83037868641,42632.40866353506,42817.900202223085
A3-only,97800,30,42699.14483452474,42631.84889246413,42817.029071042125
A3-only,98400,30,42697.948628673505,42629.90203229939,42802.388709543564
A3-only,99000,30,42697.948628673505,42629.90203229939,42802.377353697295
A3-only,99600,30,42694.54322935271,42610.20039738124,42795.641836469644
A3-only,100200,30,42693.83220438496,42609.094084885975,42793.304466046706
A3-only,100800,30,42680.87361349679,42606.97451476972,42793.304466046706
A3-only,101400,30,42680.87361349679,42599.34868683816,42793.304466046706
A3-only,102000,30,42679.89506694504,42597.3042039621,42788.00206294722
A3-only,102600,30,42676.58549051068,42586.81764351936,42785.66505762164
A3-only,103200,30,42674.8252574389,42586.32877383723,42778.17747242276
A3-only,103800,30,42672.685524075656,42586.32877383723,42778.17747242276
A3-only,104400,30,42670.37555696358,42585.6297028894,42778.17747242276
A3-only,105000,30,42661.98671382826,42585.6297028894,42767.06854675776
