method_id,search_nfe,runs,median_best_cost,q25_best_cost,q75_best_cost
Rule,161400,30,42529.06479407323,42484.37308596701,42644.87606444444
Rule,162000,30,42527.89403416296,42483.575076871944,42642.9068113526
Rule,162600,30,42526.592135519255,42482.667819946844,42639.61150190368
Rule,163200,30,42524.78293165324,42481.73850481676,42638.07559505376
Rule,163800,30,42522.459759004225,42480.61338386418,42636.382624081045
Rule,164400,30,42520.497444402645,42479.720031806966,42634.3356432555
Rule,165000,30,42519.28063399895,42478.79389950336,42632.158814661176
Rule,165600,30,42517.707208625965,42477.97608735263,42631.54558627866
Rule,166200,30,42515.35619850622,42476.8695540624,42629.96943103402
Rule,166800,30,42513.3743760092,42476.101922156246,42626.74363563172
Rule,167400,30,42511.69164436747,42475.34381929684,42625.808800788625
Rule,168000,30,42510.05036767047,42474.95753136507,42623.89531114558
Rule,168600,30,42508.28775560111,42473.457534135574,42621.21247795201
Rule,169200,30,42507.71841075296,42472.43423111339,42619.71024173785
Rule,169800,30,42506.94978537879,42471.42770069814,42617.69822967632
Rule,170400,30,42506.041340940414,42471.05155897973,42616.615855454176
Rule,171000,30,42504.786511837294,42470.39382376538,42616.08497106478
Rule,171600,30,42504.488674696986,42470.364136952456,42614.80181937748
Rule,172200,30,42504.242508176285,42470.35929252187,42614.03473102119
Rule,172800,30,42503.058647369544,42469.812151195874,42612.34288385382
Rule,173400,30,42502.590027647326,42468.77272524606,42611.05181434156
Rule,174000,30,42502.42296703828,42467.83065724523,42608.762493262344
Rule,174600,30,42502.13411702198,42467.362623194305,42607.91222018826
Rule,175200,30,42501.28211172241,42466.94248239529,42607.39413935456
Rule,175800,30,42500.63310852193,42466.06285728673,42607.04646099074
Rule,176400,30,42500.37500319279,42464.95639592844,42606.91312981275
Rule,177000,30,42499.66605828354,42464.35359259788,42606.09642495969
Rule,177600,30,42499.35763307945,42463.575133480575,42605.09409714223
Rule,178200,30,42499.010555091416,42462.988237654616,42604.47225783159
Rule,178800,30,42498.22480595831,42460.718991598784,42603.23210214776
Rule,179400,30,42497.95644438376,42460.10529047336,42602.12006547148
Rule,180000,30,42497.490306779015,42459.53058720412,42598.92933453171
Rule,180600,30,42496.336929274126,42459.10262379577,42594.514031767045
Rule,181200,30,42495.78868421961,42458.14738162422,42591.857108002354
Rule,181800,30,42495.298218197495,42456.86149010336,42590.132903729595
Rule,182400,30,42494.90901354811,42455.7973502048,42586.226227993706
Rule,183000,30,42494.761555661,42454.70919628242,42584.152999085905
Rule,183600,30,42494.674205152696,42454.43939751589,42580.19254991469
Rule,184200,30,42494.545776673614,42453.83794053034,42579.59766757848
Rule,184800,30,42494.065308107405,42452.593570475074,42578.58999817798
Rule,185400,30,42493.68599349339,42452.22821185136,42576.582773040594
Rule,186000,30,42493.16790522078,42451.81900387025,42575.303911572795
Rule,186600,30,42493.03461255596,42451.51503540989,42574.568425855316
Rule,187200,30,42492.85378210189,42450.959229292435,42573.18991951694
Rule,187800,30,42492.35136791684,42450.693201582915,42572.22721245926
Rule,188400,30,42491.71560359914,42450.39082596704,42570.831851228904
Rule,189000,30,42491.03991380702,42450.370272166125,42568.87086938086
Rule,189600,30,42490.315696482714,42450.209885837336,42567.5965376261
Rule,190200,30,42490.09934056103,42449.74410365181,42566.85860755356
Rule,190800,30,42489.85436459528,42449.20564503419,42565.592563001686
Rule,191400,30,42489.452882444566,42448.61508780451,42565.043993829284
Rule,192000,30,42489.02438368705,42448.30653148321,42564.539822175095
Rule,192600,30,42488.17712499213,42447.26552831275,42563.66470427825
Rule,193200,30,42487.70761355058,42446.65826058939,42562.61609281821
Rule,193800,30,42487.08521276901,42445.894109216126,42561.984618016264
Rule,194400,30,42486.689873109,42445.63779644666,42560.7085402781
Rule,195000,30,42486.121496137246,42445.480413694226,42559.67909944112
Rule,195600,30,42485.47122016398,42445.02399599691,42558.51713502141
Rule,196200,30,42484.77067239488,42444.33096432052,42557.46088160605
Rule,196800,30,42484.41268675971,42444.23520572281,42555.76552927372
Rule,197400,30,42483.68161822689,42443.902447268745,42554.41793308692
Rule,198000,30,42482.926857293794,42443.7218797816,42551.67804238077
Rule,198600,30,42482.584375951265,42443.54882552135,42550.47381904036
Rule,199200,30,42482.07710071228,42443.18112997045,42549.67108914406
Rule,199800,30,42481.91546268534,42443.04391925747,42549.061404691354
Rule,200400,30,42481.54564427292,42442.80365581182,42548.39203185537
Rule,201000,30,42481.278272364594,42442.610721291756,42547.906545046586
Rule,201600,30,42480.08504419905,42442.498188139725,42547.48913718618
Rule,202200,30,42479.43114576966,42442.08654605973,42546.92979976753
Rule,202800,30,42478.82415732989,42441.74357466009,42546.53370277745
Rule,203400,30,42477.87751340633,42441.63162725187,42546.15081771331
Rule,204000,30,42477.24838235231,42440.960416558635,42545.61669733215
Rule,204600,30,42476.87588154944,42440.729642675724,42545.033179429905
Rule,205200,30,42476.679196548415,42440.435140050395,42544.582889034304
Rule,205800,30,42476.46004932719,42439.869367388404,42543.974138059784
Rule,206400,30,42475.46597003954,42439.51169623265,42543.33223279032
Rule,207000,30,42475.36094564961,42439.07657898808,42542.45284244869
Rule,207600,30,42475.01103501338,42438.58864862697,42541.54895991698
Rule,208200,30,42474.75693704822,42438.17570465834,42541.015944437706
Rule,208800,30,42473.95124034153,42438.008219871976,42540.101954793005
Rule,209400,30,42473.45731076252,42437.78898105226,42539.34857959754
Rule,210000,30,42472.56794824646,42437.54277125401,42539.23617862597
Rule,210600,30,42471.727775504245,42436.89878356246,42538.55797955899
Rule,211200,30,42470.461503518585,42436.8260440895,42538.28298029476
Rule,211800,30,42469.50618530607,42436.57049306993,42537.73967684957
Rule,212400,30,42467.892971856185,42436.41339471492,42536.923955581726
Rule,213000,30,42467.3038083988,42435.686357142564,42536.53872352748
Rule,213600,30,42466.39729638268,42434.02913595391,42536.00128816951
Rule,214200,30,42465.2345146039,42433.38302754188,42535.81821523425
Rule,214800,30,42464.30193332449,42432.63345309209,42535.63292753309
Rule,215400,30,42462.95041351579,42432.303689571025,42535.3680106812
