seed,checkpoint,action,repeat,checkpoint_nfe,start_iteration,end_iteration,start_nfe,end_nfe,before_cost,after_cost,before_cv,after_cv,feasible_after,cost_reward,gap_reward
310027,90pct,A3,2,270600,450,470,270600,282600,42367.76402949281,42367.26225000312,0.0,0.0,True,0.5017794896921259,1.1846519226614864e-05
310027,90pct,A3,3,270600,450,470,270600,282600,42367.76402949281,42367.59568281577,0.0,0.0,True,0.16834667704097228,3.974499132131202e-06
310027,90pct,A4,1,270600,450,470,270600,282600,42367.76402949281,42365.46611791485,0.0,0.0,True,2.297911577959894,5.4251427666095604e-05
310027,90pct,A4,2,270600,450,470,270600,282600,42367.76402949281,42365.42695701492,0.0,0.0,True,2.337072477894253,5.517597791881431e-05
310027,90pct,A4,3,270600,450,470,270600,282600,42367.76402949281,42365.762650022676,0.0,0.0,True,2.0013794701371808,4.725059684539828e-05
310029,20pct,A1,1,60600,100,120,60600,72600,43355.63376533508,43209.01878262809,0.0,0.0,True,146.6149827069894,0.0034614352464143947
310029,20pct,A1,2,60600,100,120,60600,72600,43355.63376533508,43209.01878262809,0.0,0.0,True,146.6149827069894,0.0034614352464143947
310029,20pct,A1,3,60600,100,120,60600,72600,43355.63376533508,43209.01878262809,0.0,0.0,True,146.6149827069894,0.0034614352464143947
310029,20pct,A2,1,60600,100,120,60600,72600,43355.63376533508,43265.344368321574,0.0,0.0,True,90.28939701350464,0.002131643679450155
310029,20pct,A2,2,60600,100,120,60600,72600,43355.63376533508,43268.72115784381,0.0,0.0,True,86.91260749127105,0.0020519210067998297
