ess_capacity_mwh,g2_max_mw,g1_fault_max_mw,no_reserve_cost,dynamic_reserve_cost,cost_increase_pct,no_reserve_pre_soc,dynamic_reserve_pre_soc,no_reserve_shed_mwh,dynamic_reserve_shed_mwh,shed_reduction_mwh
18.0,18.0,2.0,44486.9450306871,44492.73745481169,0.013020503252352312,0.5100285024514473,0.5190595797494979,8.221370233201156e-13,0.0,8.221370233201156e-13
18.0,18.0,0.0,44486.9450306871,44952.05527811294,1.0454982851823242,0.5100285024514473,0.6316360442748769,1.3704375027536946,0.0,1.3704375027536946
18.0,19.0,6.0,44486.9450306871,44486.9450306871,0.0,0.5100285024514473,0.5100285024514473,1.148582605707462e-15,1.148582605707462e-15,0.0
18.0,19.0,2.0,44486.9450306871,44492.73745481169,0.013020503252352312,0.5100285024514473,0.5190595797494979,8.221370233201156e-13,0.0,8.221370233201156e-13
18.0,19.0,0.0,44486.9450306871,44952.05527811294,1.0454982851823242,0.5100285024514473,0.6316360442748769,1.3704375027537392,0.0,1.3704375027537392
18.0,20.0,6.0,44486.9450306871,44486.9450306871,0.0,0.5100285024514473,0.5100285024514473,1.148582605707462e-15,1.148582605707462e-15,0.0
18.0,20.0,2.0,44486.9450306871,44492.73745481169,0.013020503252352312,0.5100285024514473,0.5190595797494979,8.221370233201156e-13,0.0,8.221370233201156e-13
18.0,20.0,0.0,44486.9450306871,44952.05527811294,1.0454982851823242,0.5100285024514473,0.6316360442748769,1.3704375027537392,0.0,1.3704375027537392
20.0,15.0,6.0,44407.00018601001,44407.00018601001,0.0,0.4998046086162649,0.4998046086162649,0.0,0.0,0.0
20.0,15.0,2.0,44407.00018601001,44411.97114255512,0.011194083194744107,0.4998046086162649,0.52069488735026,0.0,1.4216638061602188e-12,-1.4216638061602188e-12
20.0,15.0,0.0,44407.00018601001,44867.452050462125,1.036890270730732,0.4998046086162649,0.5598768749764316,1.3700949117045966,0.0,1.3700949117045966
20.0,16.0,6.0,44407.00018601001,44407.00018601001,0.0,0.4998046086162649,0.4998046086162649,0.0,0.0,0.0
20.0,16.0,2.0,44407.00018601001,44411.802748424525,0.010814876921203755,0.4998046086162649,0.5180859812233488,0.0,0.0,0.0
20.0,16.0,0.0,44407.00018601001,44850.863367155216,0.9995342610083391,0.4998046086162649,0.563125652684304,1.3700949117049768,9.260297904958476e-13,1.3700949117040508
20.0,17.0,6.0,44407.00018601001,44407.00018601001,0.0,0.4998046086162649,0.4998046086162649,0.0,0.0,0.0
20.0,17.0,2.0,44407.00018601001,44411.802748424525,0.010814876921203755,0.4998046086162649,0.5180859812233488,0.0,0.0,0.0
20.0,17.0,0.0,44407.00018601001,44894.37838273126,1.097525603350241,0.4998046086162649,0.6245873119679237,1.3700949117052699,0.0,1.3700949117052699
20.0,18.0,6.0,44407.00018601001,44407.00018601001,0.0,0.4998046086162649,0.4998046086162649,0.0,0.0,0.0
20.0,18.0,2.0,44407.00018601001,44411.802748424525,0.010814876921203755,0.4998046086162649,0.5180859812233488,0.0,0.0,0.0
20.0,18.0,0.0,44407.00018601001,44894.37838273126,1.097525603350241,0.4998046086162649,0.6245873119679237,1.3700949117047625,0.0,1.3700949117047625
20.0,19.0,6.0,44407.00018601001,44407.00018601001,0.0,0.4998046086162649,0.4998046086162649,0.0,0.0,0.0
