ess_capacity_mwh,ess_power_max_mw,g2_max_mw,g2_ramp_mw_per_h,g1_fault_max_mw,strategy,seed,normal_cost,normal_cv_base,normal_cv_res,reserve_energy_max_mwh,reserve_power_max_mw,fault_pre_soc,fault_end_soc,fault_ess_output_mwh,fault_g2_max_mw,shed_energy_mwh,load_retention
14.0,3.0,18.0,3.0,6.0,no_reserve,20260826,44649.249363037285,0.0,0.0,0.0,0.0,0.5491450827787713,0.1999999999999925,4.643629600957757,9.850599876731755,4.264405372401904e-16,1.0
14.0,3.0,18.0,3.0,2.0,dynamic_reserve,20260826,44657.00779534961,0.0,0.0,2.292406205289285,2.1777858950248206,0.5773443195029001,0.1999999999999989,5.018679449388586,13.352764310153155,0.0,1.0
14.0,3.0,18.0,3.0,2.0,no_reserve,20260826,44649.249363037285,0.0,0.0,2.4241722203229723,2.3029636093068238,0.5491450827787713,0.20000000000000004,4.643629600957657,13.489789538404219,2.2002343686386317e-14,0.9999999999999982
14.0,3.0,18.0,3.0,0.0,dynamic_reserve,20260826,45174.05941428049,0.0,0.0,3.4174582599197407,2.966833250380967,0.7344985988738968,0.1999999999999998,7.10883136502283,14.542179893597684,0.0,1.0
14.0,3.0,18.0,3.0,0.0,no_reserve,20260826,44649.249363037285,0.0,0.0,6.304424859961752,4.302963609306824,0.5491450827787713,0.20000000000000348,4.6436296009576346,15.446313791842183,1.3455740160061898,0.8914859664511138
14.0,3.0,19.0,3.0,6.0,dynamic_reserve,20260826,44649.12177001927,0.0,0.0,0.0,0.0,0.5371242612602649,0.2000000000000209,4.483752674761245,9.87211218640527,1.8924398990248145e-15,0.9999999999999999
14.0,3.0,19.0,3.0,6.0,no_reserve,20260826,44649.249363037285,0.0,0.0,0.0,0.0,0.5491450827787713,0.1999999999999925,4.643629600957757,9.850599876731755,4.264405372401904e-16,1.0
14.0,3.0,19.0,3.0,2.0,dynamic_reserve,20260826,44657.00779534961,0.0,0.0,2.292406205289285,2.1777858950248206,0.5773443195029001,0.1999999999999989,5.018679449388586,13.352764310153155,0.0,1.0
14.0,3.0,19.0,3.0,2.0,no_reserve,20260826,44649.249363037285,0.0,0.0,2.4241722203229723,2.3029636093068238,0.5491450827787713,0.20000000000000004,4.643629600957657,13.489789538404219,2.2002343686386317e-14,0.9999999999999982
14.0,3.0,19.0,3.0,0.0,dynamic_reserve,20260826,45174.05941428049,0.0,0.0,3.4174582599197407,2.966833250380967,0.7344985988738968,0.1999999999999998,7.10883136502283,14.542179893597684,0.0,1.0
14.0,3.0,19.0,3.0,0.0,no_reserve,20260826,44649.249363037285,0.0,0.0,6.304424859961752,4.302963609306824,0.5491450827787713,0.19999999999999865,4.643629600957704,15.446313791842332,1.3455740160059604,0.8914859664511322
14.0,3.0,20.0,3.0,6.0,dynamic_reserve,20260826,44649.12177001927,0.0,0.0,0.0,0.0,0.5371242612602649,0.2000000000000209,4.483752674761245,9.87211218640527,1.8924398990248145e-15,0.9999999999999999
14.0,3.0,20.0,3.0,6.0,no_reserve,20260826,44649.249363037285,0.0,0.0,0.0,0.0,0.5491450827787713,0.1999999999999925,4.643629600957757,9.850599876731755,4.264405372401904e-16,1.0
14.0,3.0,20.0,3.0,2.0,dynamic_reserve,20260826,44657.00779534961,0.0,0.0,2.292406205289285,2.1777858950248206,0.5773443195029001,0.1999999999999989,5.018679449388586,13.352764310153155,0.0,1.0
14.0,3.0,20.0,3.0,2.0,no_reserve,20260826,44649.249363037285,0.0,0.0,2.4241722203229723,2.3029636093068238,0.5491450827787713,0.20000000000000004,4.643629600957657,13.489789538404219,2.2002343686386317e-14,0.9999999999999982
